검색지역,검색키워드,제목,회사정보,근무조건,이미지URL,채용공고링크,수집일시
관악구,강아지,강아지 5일동안 돌봐주실분 구해요,"이웃알바
·
신림동
·
3일 전","건당 15만원
·
총 6일 / 3월 1~6일
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/3381997/1739512331617/269925495.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EA%B0%95%EC%95%84%EC%A7%80-5%EC%9D%BC%EB%8F%99%EC%95%88-%EB%8F%8C%EB%B4%90%EC%A3%BC%EC%8B%A4%EB%B6%84-%EA%B5%AC%ED%95%B4%EC%9A%94-9syntmpm25bj/?in=%EA%B4%80%EC%95%85%EA%B5%AC-340,2025-02-17 15:30:49
관악구,강아지,대형견 산책,"이웃알바
·
봉천동
·
9일 전","시급 1만 2,000원
·
월~일
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/16211101/1734070034253/job-post-675679856.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EB%8C%80%ED%98%95%EA%B2%AC-%EC%82%B0%EC%B1%85-tt9avack3y4e/?in=%EA%B4%80%EC%95%85%EA%B5%AC-340,2025-02-17 15:30:49
관악구,강아지,펫시터 단기 알바 구합니다!,"이웃알바
·
신림동
·
16일 전","시급 1만 3,000원
·
총 4일 / 내일~2월 21일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%ED%8E%AB%EC%8B%9C%ED%84%B0-%EB%8B%A8%EA%B8%B0-%EC%95%8C%EB%B0%94-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-c7fni3t23dwr/?in=%EA%B4%80%EC%95%85%EA%B5%AC-340,2025-02-17 15:30:49
구로구,강아지,강아지 돌봄,"이웃알바
·
개봉동
·
2일 전","건당 1만 1,000원
·
월~금
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/15249130/1739600696989/2161706820.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EA%B0%95%EC%95%84%EC%A7%80-%EB%8F%8C%EB%B4%84-1gyu1j1keewy/?in=%EA%B5%AC%EB%A1%9C%EA%B5%AC-278,2025-02-17 15:31:21
구로구,강아지,펫시터 해주실 분 찾습니당~,"이웃알바
·
고척동
·
3일 전","건당 1만원
·
총 5일 / 2월 21~25일
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/17470232/1739510780384/686131050.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%ED%8E%AB%EC%8B%9C%ED%84%B0-%ED%95%B4%EC%A3%BC%EC%8B%A4-%EB%B6%84-%EC%B0%BE%EC%8A%B5%EB%8B%88%EB%8B%B9-1myvvt5evx3i/?in=%EA%B5%AC%EB%A1%9C%EA%B5%AC-278,2025-02-17 15:31:21
구로구,강아지,펫시터 구합니다!,"이웃알바
·
구로동
·
8일 전","시급 1만 1,000원
·
총 8일 / 3월 4~11일
·
09:00~18:00 협의",이미지 없음,https://www.daangn.com/kr/jobs/%ED%8E%AB%EC%8B%9C%ED%84%B0-%EA%B5%AC%ED%95%A9%EB%8B%88%EB%8B%A4-u5qidhbiuyx6/?in=%EA%B5%AC%EB%A1%9C%EA%B5%AC-278,2025-02-17 15:31:21
구로구,강아지,(목~토) 집안일 맡아주실 선생님 계실까요?,"이웃알바
·
개봉동
·
18일 전","시급 1만 6,000원
·
목~토
·
09:00~18:00 협의",https://img.kr.gcp-karroter.net/jobs/article/9188704/1738252667833/job-post-3394862910.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EB%AA%A9-%ED%86%A0-%EC%A7%91%EC%95%88%EC%9D%BC-%EB%A7%A1%EC%95%84%EC%A3%BC%EC%8B%A4-%EC%84%A0%EC%83%9D%EB%8B%98-%EA%B3%84%EC%8B%A4%EA%B9%8C%EC%9A%94-yxw7mxwhyahk/?in=%EA%B5%AC%EB%A1%9C%EA%B5%AC-278,2025-02-17 15:31:21
금천구,고양이,브랜드 Glossy 물류/생산보조 파트타이머 구인공고,"시선(SEE-SUN)
·
독산동
·
17시간 전","시급 1만 1,000원
·
월~금
·
13:00~18:30",https://img.kr.gcp-karroter.net/jobs/article/43897/1733153754965/job-post-4198574228.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EB%B8%8C%EB%9E%9C%EB%93%9C-glossy-%EB%AC%BC%EB%A5%98-%EC%83%9D%EC%82%B0%EB%B3%B4%EC%A1%B0-%ED%8C%8C%ED%8A%B8%ED%83%80%EC%9D%B4%EB%A8%B8-%EA%B5%AC%EC%9D%B8%EA%B3%B5%EA%B3%A0-hj89s1n5otfa/?in=%EA%B8%88%EC%B2%9C%EA%B5%AC-294,2025-02-17 15:31:43
금천구,고양이,[단기] 브랜드 Glossy 물류 파트타이머 구인공고,"시선(SEE-SUN)
·
독산동
·
18시간 전","시급 1만 1,000원
·
총 5일 / 오늘~2월 21일
·
13:00~18:30",https://img.kr.gcp-karroter.net/jobs/article/43897/1733153754965/job-post-4198574228.jpeg?q=95&s=1440x1440&t=inside,https://www.daangn.com/kr/jobs/%EB%8B%A8%EA%B8%B0-%EB%B8%8C%EB%9E%9C%EB%93%9C-glossy-%EB%AC%BC%EB%A5%98-%ED%8C%8C%ED%8A%B8%ED%83%80%EC%9D%B4%EB%A8%B8-%EA%B5%AC%EC%9D%B8%EA%B3%B5%EA%B3%A0-2jgxcv5xr87k/?in=%EA%B8%88%EC%B2%9C%EA%B5%AC-294,2025-02-17 15:31:43
도봉구,강아지,애견샵 매장 청소 및 정리정돈,"솔직하개정직하개
·
방학동
·
19시간 전","시급 1만 5,000원
·
월, 화, 수, 금, 토, 일
·
09:00~13:00",이미지 없음,https://www.daangn.com/kr/jobs/%EC%95%A0%EA%B2%AC%EC%83%B5-%EB%A7%A4%EC%9E%A5-%EC%B2%AD%EC%86%8C-%EB%B0%8F-%EC%A0%95%EB%A6%AC%EC%A0%95%EB%8F%88-k87j4hh261i9/?in=%EB%8F%84%EB%B4%89%EA%B5%AC-154,2025-02-17 15:32:05
